set_no,card_no,row_no,c1,c2,c3,c4,c5,c6,c7,c8,c9
1,1,1,,16,,31,40,,65,71,
1,1,2,2,,20,,44,50,,,82
1,1,3,5,,26,35,,57,,73,
1,2,1,1,,,33,,54,,75,81
1,2,2,4,,22,,42,,69,,84
1,2,3,,13,,38,,58,,77,90
1,3,1,,11,23,37,,51,,,85
1,3,2,,14,27,,41,55,,78,
1,3,3,7,18,,39,46,,68,,
1,4,1,3,,21,,,59,60,72,
1,4,2,,10,,32,,,63,74,87
1,4,3,8,,25,,48,,67,76,
1,5,1,,,28,,43,53,,79,80
1,5,2,9,,,30,45,,62,,83
1,5,3,,19,,34,47,,64,,88
1,6,1,6,12,,36,,52,,,86
1,6,2,,15,24,,,56,61,70,
1,6,3,,17,29,,49,,66,,89
2,1,1,,15,,31,,50,61,73,
2,1,2,,16,,35,42,,65,,84
2,1,3,7,,29,,43,56,,76,
2,2,1,,12,,32,40,,62,74,
2,2,2,,18,,36,,51,,77,83
2,2,3,6,,21,,48,,66,,89
2,3,1,,11,24,,49,,69,,80
2,3,2,2,,28,30,,55,,71,
2,3,3,,19,,37,,59,,79,87
2,4,1,,13,,33,,52,63,72,
2,4,2,1,,22,,44,,,75,81
2,4,3,8,,26,,47,,68,,86
2,5,1,4,,25,,45,53,,78,
2,5,2,,14,,34,,57,60,,85
2,5,3,5,,27,,46,,67,,88
2,6,1,3,10,,38,,54,,70,
2,6,2,,17,20,,41,,64,,82
2,6,3,9,,23,39,,58,,,90
3,1,1,6,,20,,40,54,,72,
3,1,2,9,,22,,42,,62,,81
3,1,3,,11,,33,46,,,79,85
3,2,1,1,13,,34,43,,,78,
3,2,2,2,,24,35,,50,,,82
3,2,3,7,,28,36,,,61,,86
3,3,1,,10,,31,47,,60,,84
3,3,2,,12,,38,,52,66,73,
3,3,3,5,,25,,49,,68,,87
3,4,1,3,,21,,44,,63,,88
3,4,2,,14,,37,,56,,70,89
3,4,3,,17,26,,48,,65,75,
3,5,1,4,,23,,41,51,,74,
3,5,2,,15,,32,,53,64,76,
3,5,3,,18,29,,,55,67,,90
3,6,1,,16,,30,,57,69,,80
3,6,2,,19,,39,,58,,71,83
3,6,3,8,,27,,45,59,,77,
4,1,1,,10,,37,,57,60,71,
4,1,2,,14,,38,41,,64,,90
4,1,3,5,,25,,46,59,,75,
4,2,1,,13,,30,44,,63,70,
4,2,2,,19,,33,,52,,79,82
4,2,3,4,,20,,45,,67,,88
4,3,1,,15,23,,40,,68,,81
4,3,2,3,,27,34,,53,,72,
4,3,3,,17,,39,,58,,78,85
4,4,1,,16,,36,,54,61,73,
4,4,2,2,,21,,43,,,77,80
4,4,3,9,,24,,48,,66,,84
4,5,1,6,,22,,42,55,,74,
4,5,2,,12,,31,,56,62,,83
4,5,3,8,,28,,47,,65,,86
4,6,1,1,11,,32,,50,,76,
4,6,2,,18,26,,49,,69,,87
4,6,3,7,,29,35,,51,,,89
5,1,1,1,14,,,42,51,,,80
5,1,2,9,,28,,46,52,,75,
5,1,3,,16,,37,,59,60,,88
5,2,1,,17,,30,,,64,71,82
5,2,2,3,,24,33,,,68,73,
5,2,3,,,29,,48,55,,77,84
5,3,1,,,20,,41,,62,74,83
5,3,2,,15,,36,43,,65,,85
5,3,3,6,,27,,47,56,69,,
5,4,1,2,,21,,,54,66,,87
5,4,2,5,12,25,,45,,,,89
5,4,3,8,18,,38,,57,,76,
5,5,1,4,10,,31,,,,72,81
5,5,2,,11,22,35,,58,,,86
5,5,3,,13,,39,44,,67,78,
5,6,1,,,23,,40,50,61,,90
5,6,2,7,,26,32,,,63,70,
5,6,3,,19,,34,49,53,,79,
6,1,1,1,,25,,42,,66,,84
6,1,2,5,,29,31,,52,,70,
6,1,3,,12,,36,47,,,75,85
6,2,1,2,,21,35,,53,,74,
6,2,2,6,,28,,40,,62,,81
6,2,3,,13,,39,,59,,77,89
6,3,1,,14,26,,45,,64,,83
6,3,2,,18,,32,,50,,71,88
6,3,3,3,19,,,49,,67,79,
6,4,1,4,,20,33,,54,,72,
6,4,2,9,,24,,41,,63,78,
6,4,3,,16,,38,,58,69,,80
6,5,1,7,,22,,43,,60,,82
6,5,2,,10,23,,48,55,,,86
6,5,3,,15,,34,,57,61,73,
6,6,1,,11,27,,44,51,,76,
6,6,2,8,,,30,46,,65,,87
6,6,3,,17,,37,,56,68,,90
7,1,1,1,,25,,43,,64,,81
7,1,2,6,,27,,48,54,,70,
7,1,3,,14,,38,,59,,78,89
7,2,1,7,,24,,45,,67,,83
7,2,2,,11,,30,,51,,75,87
7,2,3,,17,,33,47,55,,,88
7,3,1,2,,20,34,41,,60,,
7,3,2,8,,26,37,,58,,71,
7,3,3,,19,,39,49,,66,,85
7,4,1,,12,23,35,,50,,72,
7,4,2,3,,29,,46,,63,,82
7,4,3,9,18,,36,,57,,76,
7,5,1,,13,22,,40,,62,,84
7,5,2,4,,28,,44,,68,,86
7,5,3,,16,,31,,52,,79,90
7,6,1,5,,21,,42,,61,73,
7,6,2,,10,,32,,53,65,74,
7,6,3,,15,,,,56,69,77,80
8,1,1,1,,29,,48,,64,71,
8,1,2,,10,,35,,52,68,,80
8,1,3,6,14,,38,,57,,,86
8,2,1,9,,23,32,,50,,70,
8,2,2,,13,24,,49,,66,,82
8,2,3,,18,,37,,59,,78,84
8,3,1,4,,21,,42,,60,79,
8,3,2,7,,26,31,,51,,,83
8,3,3,,19,,33,45,,63,,87
8,4,1,,11,,30,,53,61,74,
8,4,2,2,,22,,41,,65,,85
8,4,3,,16,,34,,54,,77,89
8,5,1,,12,20,,44,55,,72,
8,5,2,3,,28,,47,,69,,81
8,5,3,,15,,36,,58,,75,90
8,6,1,5,,25,,40,,62,73,
8,6,2,,17,,39,43,,67,,88
8,6,3,8,,27,,46,56,,76,
9,1,1,,14,,31,,55,62,70,
9,1,2,5,,29,,44,,69,,84
9,1,3,,18,,36,,57,,71,89
9,2,1,8,,25,33,,52,,72,
9,2,2,,10,28,,43,,67,,81
9,2,3,,17,,38,,56,,73,86
9,3,1,1,,20,,40,,61,76,
9,3,2,2,,27,35,,58,,,82
9,3,3,,12,,39,48,,68,,90
9,4,1,4,,21,,46,,63,74,
9,4,2,,13,,30,,54,66,,83
9,4,3,9,15,,32,,59,,,88
9,5,1,,11,23,,42,50,,78,
9,5,2,6,,24,,45,,65,,80
9,5,3,,19,,37,,53,,79,87
9,6,1,3,,22,,41,,60,75,
9,6,2,,16,,34,47,,64,,85
9,6,3,7,,26,,49,51,,77,
10,1,1,,12,23,,40,,66,,88
10,1,2,,18,,34,,52,,71,89
10,1,3,8,,27,,48,,69,79,
10,2,1,3,,24,,41,50,,78,
10,2,2,6,,26,,43,,63,,84
10,2,3,,14,,30,,54,64,,86
10,3,1,,10,,33,,53,,70,81
10,3,2,4,,29,,44,,65,,82
10,3,3,5,16,,37,,55,,75,
10,4,1,1,,21,32,,51,,72,
10,4,2,,15,,36,47,,60,,85
10,4,3,7,,22,,49,,61,76,
10,5,1,9,,20,35,,56,,74,
10,5,2,,11,28,,42,,62,,83
10,5,3,,19,,38,,59,68,,90
10,6,1,2,,25,,45,57,,73,
10,6,2,,13,,31,46,,67,,80
10,6,3,,17,,39,,58,,77,87
11,1,1,,10,21,,42,,60,,80
11,1,2,,17,,32,,54,,73,87
11,1,3,1,,28,,46,,68,77,
11,2,1,2,,20,,40,51,,76,
11,2,2,9,,25,,49,,61,,83
11,2,3,,19,,31,,58,67,,85
11,3,1,,11,,38,,50,,72,84
11,3,2,3,,22,,45,,62,,90
11,3,3,7,13,,39,,57,,74,
11,4,1,4,,23,34,,56,,71,
11,4,2,,16,,37,44,,63,,82
11,4,3,8,,29,,48,,65,75,
11,5,1,5,,24,33,,52,,79,
11,5,2,,12,27,,41,,64,,81
11,5,3,,15,,36,,53,69,,89
11,6,1,6,,26,,43,55,,70,
11,6,2,,14,,30,47,,66,,86
11,6,3,,18,,35,,59,,78,88
12,1,1,,12,21,,42,,63,72,
12,1,2,,19,,33,,55,,76,84
12,1,3,1,,22,,47,,69,,89
12,2,1,,15,,30,,50,64,73,
12,2,2,9,,25,,44,,68,,81
12,2,3,,18,,39,,58,,78,90
12,3,1,,10,20,,48,52,,,82
12,3,2,,13,,38,,56,62,74,
12,3,3,3,,24,,49,,67,,87
12,4,1,6,,27,32,,51,,71,
12,4,2,7,,29,,40,59,,75,
12,4,3,,11,,36,45,,60,,86
12,5,1,2,14,,31,,53,,70,
12,5,2,4,,26,,41,,61,,80
12,5,3,,16,,35,,57,,77,88
12,6,1,5,,23,,43,,65,79,
12,6,2,,17,,34,46,,66,,83
12,6,3,8,,28,37,,54,,,85
13,1,1,,13,23,,41,,61,75,
13,1,2,,17,,37,,51,,77,80
13,1,3,2,,29,,46,,66,,83
13,2,1,,10,,35,,56,60,70,
13,2,2,4,,26,,40,,65,,84
13,2,3,,16,,38,,59,,71,88
13,3,1,,11,27,,43,53,,,85
13,3,2,,14,,36,,54,63,79,
13,3,3,8,,28,,47,,68,,86
13,4,1,1,,20,30,,55,,72,
13,4,2,5,,22,,42,58,,78,
13,4,3,,19,,31,48,,69,,89
13,5,1,3,12,,33,,50,,73,
13,5,2,7,,21,,49,,62,,82
13,5,3,,18,,34,,52,,74,90
13,6,1,6,,24,,44,,64,76,
13,6,2,,15,,32,45,,67,,81
13,6,3,9,,25,39,,57,,,87
14,1,1,1,,22,,44,,61,,85
14,1,2,2,15,,36,,50,,74,
14,1,3,9,,27,,,57,63,,88
14,2,1,3,,21,34,,53,,73,
14,2,2,8,,26,,40,,65,,81
14,2,3,,13,28,,49,,69,,89
14,3,1,4,,25,,41,,66,,82
14,3,2,,10,,32,48,,68,70,
14,3,3,,19,,37,,55,,79,87
14,4,1,,14,,31,42,,64,,83
14,4,2,5,,20,38,,54,,76,
14,4,3,,16,29,,45,59,,,90
14,5,1,,12,,30,,51,67,,84
14,5,2,,17,,39,,56,,71,86
14,5,3,6,,23,,43,58,,75,
14,6,1,,11,,33,,52,,72,80
14,6,2,7,,24,,46,,60,77,
14,6,3,,18,,35,47,,62,78,
15,1,1,,12,22,,,52,63,,83
15,1,2,,15,,39,,55,65,,88
15,1,3,1,,25,,44,,67,70,
15,2,1,3,14,,,43,54,,71,
15,2,2,6,19,,38,,59,,75,
15,2,3,8,,27,,47,,61,,86
15,3,1,,,21,30,,,60,74,81
15,3,2,5,,23,32,,58,,,85
15,3,3,,16,,34,41,,,77,87
15,4,1,,,24,,45,,66,72,80
15,4,2,4,,29,,49,50,,78,
15,4,3,,17,,31,,53,68,,90
15,5,1,2,11,,33,40,,69,,
15,5,2,,13,28,,42,51,,,84
15,5,3,7,18,,35,46,,,76,
15,6,1,9,,20,36,,,62,73,
15,6,2,,,26,,48,56,,79,82
15,6,3,,10,,37,,57,64,,89
16,1,1,,13,20,,,50,62,,82
16,1,2,,17,,31,,56,66,,84
16,1,3,7,,28,,48,,69,73,
16,2,1,2,11,,,40,51,,72,
16,2,2,4,18,,36,,53,,79,
16,2,3,9,,26,,42,,68,,89
16,3,1,,,24,33,,,64,76,80
16,3,2,6,,27,35,,57,,,83
16,3,3,,10,,37,45,,,78,86
16,4,1,,,21,,41,,61,71,85
16,4,2,5,,25,,47,52,,74,
16,4,3,,15,,38,,58,65,,88
16,5,1,1,12,,30,43,,63,,
16,5,2,,16,22,,44,54,,,90
16,5,3,3,19,,34,49,,,77,
16,6,1,8,,23,32,,,60,70,
16,6,2,,,29,,46,55,,75,81
16,6,3,,14,,39,,59,67,,87
17,1,1,,10,24,,43,,63,,83
17,1,2,5,,26,,47,,,70,84
17,1,3,,15,,38,,58,,75,90
17,2,1,2,,20,,46,,64,,86
17,2,2,7,,22,35,,52,,73,
17,2,3,,11,,39,,59,68,,88
17,3,1,1,,25,,45,,66,,80
17,3,2,4,,28,30,,53,,74,
17,3,3,,19,,36,,57,,79,85
17,4,1,,14,,33,40,,61,,82
17,4,2,3,18,,,41,54,,77,
17,4,3,6,,23,,48,,65,,89
17,5,1,,12,,32,,51,60,76,
17,5,2,9,,21,37,,55,,78,
17,5,3,,16,27,,44,,67,,81
17,6,1,,13,,31,,50,62,,87
17,6,2,,17,,34,42,56,,71,
17,6,3,8,,29,,49,,69,72,
18,1,1,2,,20,,46,,63,74,
18,1,2,9,,26,,47,,64,,81
18,1,3,,14,,31,,51,69,75,
18,2,1,,11,,32,40,53,,76,
18,2,2,5,,25,,42,,65,,87
18,2,3,,15,,33,45,,,78,88
18,3,1,,10,,34,41,,68,,86
18,3,2,8,,24,37,,50,,77,
18,3,3,,16,,38,,58,,79,89
18,4,1,1,,22,,43,,62,,80
18,4,2,3,13,,30,,57,,72,
18,4,3,7,,27,,,59,66,73,
18,5,1,4,,21,36,,52,,,83
18,5,2,,12,28,,49,55,,71,
18,5,3,,19,29,,,56,60,,84
18,6,1,,17,,35,44,,61,,82
18,6,2,,18,,39,,54,,70,85
18,6,3,6,,23,,48,,67,,90
19,1,1,,,22,,45,51,,71,81
19,1,2,7,,,30,,58,,77,84
19,1,3,,10,,33,,,65,79,87
19,2,1,3,,20,,,50,,73,90
19,2,2,5,18,,32,,55,,75,
19,2,3,8,,24,,49,,63,76,
19,3,1,,11,23,34,,57,,72,
19,3,2,9,15,,39,41,,61,,
19,3,3,,17,26,,47,,67,,80
19,4,1,2,,,31,40,,64,,85
19,4,2,,16,,35,42,,66,,88
19,4,3,4,,28,,44,59,,78,
19,5,1,,,21,36,,52,62,,82
19,5,2,,19,,38,46,,,74,89
19,5,3,6,,29,,48,56,69,,
19,6,1,1,12,,37,,53,,70,
19,6,2,,13,25,,,54,60,,83
19,6,3,,14,27,,43,,68,,86
20,1,1,,,29,,48,52,,73,82
20,1,2,2,,,31,,56,,75,86
20,1,3,,11,,36,,,66,78,88
20,2,1,1,,21,,,57,,70,83
20,2,2,4,14,,38,,59,,72,
20,2,3,6,,28,,46,,68,74,
